neighbourhood_cleansed,room_type,minimum_nights,count,mean,std,min,25%,50%,75%,max,mode
Amager Vest,Entire home/apt,1,130.0,1239.6615384615384,973.7625544570561,315.0,796.25,1000.0,1399.75,7429.0,1200.0
Amager Vest,Entire home/apt,2,232.0,1220.0344827586207,590.488555974227,417.0,800.0,1100.0,1500.0,4752.0,1250.0
Amager Vest,Entire home/apt,3,209.0,1224.8277511961724,802.2865094619441,320.0,829.0,1029.0,1500.0,7429.0,1500.0
Amager Vest,Entire home/apt,4,129.0,1317.5813953488373,1215.0782105593707,501.0,903.0,1098.0,1500.0,14000.0,1500.0
Amager Vest,Entire home/apt,5,108.0,1349.6851851851852,842.6332075080429,500.0,950.0,1126.0,1499.25,6086.0,1000.0
Amager Vest,Entire home/apt,6,41.0,1059.3170731707316,310.34403804684166,550.0,850.0,1004.0,1200.0,1850.0,850.0
Amager Vest,Entire home/apt,7,35.0,1149.5428571428572,600.4123261097642,460.0,800.0,995.0,1235.0,3600.0,900.0
Amager Vest,Entire home/apt,8,1.0,400.0,,400.0,400.0,400.0,400.0,400.0,400.0
Amager Vest,Entire home/apt,10,5.0,1094.8,513.8070649572659,750.0,849.0,875.0,1000.0,2000.0,750.0
Amager Vest,Entire home/apt,14,8.0,955.5,581.13534199383,250.0,710.75,784.5,1066.5,2200.0,250.0
Amager Vest,Entire home/apt,16,1.0,440.0,,440.0,440.0,440.0,440.0,440.0,440.0
Amager Vest,Entire home/apt,30,4.0,782.0,93.21301768887577,650.0,761.75,804.5,824.75,869.0,650.0
Amager Vest,Entire home/apt,60,3.0,1133.3333333333333,416.33319989322655,800.0,900.0,1000.0,1300.0,1600.0,800.0
Amager Vest,Entire home/apt,90,1.0,633.0,,633.0,633.0,633.0,633.0,633.0,633.0
Amager Vest,Entire home/apt,150,1.0,700.0,,700.0,700.0,700.0,700.0,700.0,700.0
Amager Vest,Entire home/apt,180,1.0,500.0,,500.0,500.0,500.0,500.0,500.0,500.0
Amager Vest,Private room,1,64.0,1537.78125,8048.14292582851,288.0,400.0,490.0,614.75,64900.0,500.0
Amager Vest,Private room,2,41.0,587.5121951219512,245.77379050167448,245.0,425.0,595.0,675.0,1500.0,650.0
Amager Vest,Private room,3,25.0,541.88,240.71894399901308,299.0,412.0,499.0,600.0,1500.0,499.0
Amager Vest,Private room,4,6.0,454.3333333333333,176.37195544265722,249.0,364.5,430.5,486.75,768.0,249.0
Amager Vest,Private room,5,7.0,1725.857142857143,924.6513628698888,300.0,1040.5,2200.0,2500.0,2500.0,2500.0
Amager Vest,Private room,7,3.0,423.0,152.50245899656832,330.0,335.0,340.0,469.5,599.0,330.0
Amager Vest,Private room,21,1.0,550.0,,550.0,550.0,550.0,550.0,550.0,550.0
Amager Vest,Private room,30,1.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0
Amager Vest,Shared room,1,2.0,1051.5,112.42997820866105,972.0,1011.75,1051.5,1091.25,1131.0,972.0
Amager st,Entire home/apt,1,103.0,1051.8252427184466,562.7890181625804,400.0,674.0,950.0,1239.0,4500.0,1000.0
Amager st,Entire home/apt,2,222.0,1151.8468468468468,938.259100320324,240.0,745.0,873.0,1200.0,10000.0,800.0
Amager st,Entire home/apt,3,169.0,1030.0532544378698,502.93412022842597,360.0,750.0,900.0,1150.0,4300.0,1000.0
Amager st,Entire home/apt,4,116.0,1042.051724137931,526.8167546249106,363.0,685.75,900.0,1212.5,3317.0,1000.0
Amager st,Entire home/apt,5,88.0,1253.5113636363637,757.6905320763346,400.0,796.75,1000.0,1500.0,4450.0,1000.0
Amager st,Entire home/apt,6,26.0,948.2307692307693,381.29498372701494,240.0,677.25,875.0,1200.0,2000.0,800.0
Amager st,Entire home/apt,7,31.0,1318.4516129032259,1193.7877209037815,248.0,789.5,1000.0,1513.5,6571.0,900.0
Amager st,Entire home/apt,8,2.0,1322.5,102.5304832720494,1250.0,1286.25,1322.5,1358.75,1395.0,1250.0
Amager st,Entire home/apt,9,1.0,356.0,,356.0,356.0,356.0,356.0,356.0,356.0
